Lower_Super_Output_Area,Households_All_households,Ethnic_Group_BAME,House_Prices_Median_Price_2014,House_Prices_Sales_2014,Economic_Activity_Employment_Rate,Economic_Activity_Unemployment_Rate,Health_Fair_health,Health_Bad_or_Very_Bad_health,Health_Very_good_or_Good_health,Car_or_van_availability_Sum_of_all_cars_or_vans_in_the_area,Public_Transport_Accessibility_Levels_Average_Score,Household_Income_Median_Annual_Household_Income_estimate
E01000907,627,379,568500,26,58.6,9.9,189,125,1116,286,4.6,30223
E01000908,827,436,350000,22,62.3,8,196,149,1236,408,2.9,32049
E01000909,661,257,1412500,16,65.7,4.9,161,72,1381,587,3.3,58469
E01000912,700,360,725000,11,58.8,8.8,232,130,1227,301,4.6,31551
E01000913,722,202,996585,33,71.8,2.1,124,53,1533,893,2.8,73024
E01000893,715,186,950000,25,74.1,3.6,110,43,1413,537,3.2,64138
E01000894,619,219,1475000,22,72.8,3.6,94,29,1266,522,3.9,72739
E01000895,841,329,1040000,22,72.6,3,187,85,1358,458,3.9,53603
E01000896,756,257,1231150,29,71.6,3.9,121,51,1520,625,4.4,70351
E01000899,698,215,1287000,27,67.9,2.5,109,41,1517,767,3,76166
E01000910,588,233,1095000,13,69.7,3.9,119,44,1309,461,4.7,64961
E01000911,663,343,775000,10,65.5,6.4,172,82,1305,380,4.9,37176
E01000921,946,464,469500,21,73,4.8,179,80,1707,332,5.9,35597
E01000923,656,312,620000,28,65.1,7.1,174,113,1207,343,5.6,45322
E01000928,682,428,797000,22,65.5,5.7,207,101,1373,352,5.7,35656
E01000878,550,512,855000,21,47.6,4.5,150,51,1423,525,4.3,56251
E01000879,602,286,597500,22,62,4.5,108,37,1313,429,4.9,64715
E01000880,621,388,1140000,23,70.6,3.3,114,29,1459,522,5.8,69876
E01000884,577,296,1475000,37,65.8,3.4,108,32,1329,670,2.7,71430
E01000885,592,360,1900000,17,63.9,3.1,138,52,1294,741,2.6,78339
E01000871,632,495,925000,39,66.1,6.5,156,63,1445,579,3.9,50050
E01000872,913,629,488000,20,70.7,5.5,177,80,1645,387,5.1,32194
E01000873,710,307,590000,28,75.5,4.2,111,62,1466,488,3.8,54005
E01000874,704,381,1075000,27,73.6,3.6,109,32,1418,435,5.9,57465
E01000877,726,329,975000,25,73.6,5.2,137,56,1381,466,5,54472
E01000886,606,248,782500,24,70.1,4.4,129,61,1255,424,4,50302
E01000887,690,340,565000,19,72.4,5.8,145,77,1264,366,4.8,44663
E01000888,697,360,649800,19,65,6.6,138,90,1377,393,4.2,43520
E01000892,823,472,870000,19,66.9,5,191,103,1549,464,4.8,43769
E01000903,686,372,949975,18,64.5,6.9,166,87,1186,372,3.8,43891
E01000889,657,653,403500,14,51.3,11.8,238,185,1247,283,3.6,25438
E01000890,767,640,495338,10,45.6,13.3,273,214,1153,255,4.1,20034
E01000891,672,682,325000,8,44.6,13.8,218,175,1182,185,3.2,19956
E01000901,703,992,445000,40,44.4,11.4,265,144,1568,239,4.6,23151
E01000922,653,429,650000,21,56.7,6,153,73,1321,271,5.9,30870
E01000927,734,403,890000,23,68.4,4.5,191,81,1466,375,6.7,43205
E01000881,632,485,783000,33,66,4.6,124,53,1333,385,6.4,48802
E01000882,728,289,898500,18,77.9,2.6,99,20,1394,505,5.4,66131
E01000883,638,476,770000,35,66.3,5,107,38,1181,304,6.8,50701
E01000897,721,328,1495000,29,73.7,3.3,108,39,1450,596,4.6,72916
E01000898,850,717,925000,13,69.3,5,170,95,1464,351,5,44230
E01000866,926,597,584515,20,62.2,7.1,245,155,1630,407,6.3,33436
E01000870,774,426,647500,18,61.8,7.4,195,129,1369,356,5.7,31544
E01000924,795,348,461353,21,69.8,5,145,80,1412,363,5,40620
E01000925,629,698,542500,8,51.4,11.9,208,123,1232,209,5.3,24857
E01000926,698,729,595000,15,71.5,3.9,152,91,1548,290,5,32990
E01000969,954,519,745000,26,78.3,3.9,142,51,1839,545,6.2,54854
E01000970,831,269,625000,19,81.2,3.4,86,40,1318,366,5.8,48915
E01000971,649,282,605094,22,74.5,4,117,58,1303,437,4.9,55958
E01000972,949,865,380000,13,58.8,8.2,214,175,1620,360,6.8,30164
E01000973,894,693,500000,23,68.9,7.1,186,111,1588,385,6.2,33620
E01000842,724,275,875000,24,70.6,3.9,113,36,1295,448,4.1,62118
E01000844,870,434,910000,35,75.9,3.1,132,54,1586,512,4.4,61186
E01000848,805,337,925000,38,78.2,3.9,129,45,1414,475,4.3,60261
E01000849,862,376,725000,35,74.8,3.2,138,45,1386,362,4.7,50928
E01000900,757,501,560805,28,61.6,8.8,206,143,1452,315,4.3,31182
E01000902,590,680,471750,6,51.2,10.6,221,114,1116,222,3.2,24571
E01000904,918,715,565000,19,58.4,8.8,252,153,1715,356,6.7,29190
E01000905,812,979,370000,11,46.4,11.9,316,204,1524,266,5,21024
E01000906,788,345,587500,24,73.8,3.9,150,70,1312,462,4.7,48841
E01000875,839,537,455000,24,68.8,5.7,160,91,1403,344,4.9,33219
E01000876,800,728,459000,22,59.2,9.7,199,148,1401,316,4.6,28093
E01000931,873,784,425000,25,57.9,10.9,241,168,1501,294,5.7,25729
E01000932,947,556,590000,38,74.3,4.2,193,112,1533,378,6.1,37270
E01000974,821,665,392500,18,63.6,7.6,197,122,1388,336,5.8,29982
E01000843,846,483,875000,33,68.6,6.8,151,62,1465,419,4,44503
E01000845,731,321,665000,33,70.7,3.7,115,66,1283,468,3.7,53278
E01000846,616,620,1180000,10,54.1,9.5,167,95,1239,363,3.4,34028
E01000847,677,687,950000,15,59.4,8.7,164,87,1435,485,4.6,35289
E01000864,717,405,620000,20,66.2,5.8,158,81,1298,346,3.2,38957
E01000865,451,387,776475,10,41.4,4.8,96,52,1357,240,4.6,47904
E01000867,675,655,640000,4,52.2,7,196,116,1296,214,6.9,26792
E01000868,584,755,380000,7,57.2,12.9,191,119,1132,235,2.4,24521
E01000869,967,581,528750,36,63.2,6.1,211,111,1788,428,4.3,34563
E01000962,745,403,740500,35,79.2,4.4,82,35,1475,412,6.7,57954
E01000964,713,400,694000,22,67.5,5.7,154,67,1356,401,7,45755
E01000965,764,436,600000,29,72.7,3,137,54,1331,415,6.2,44410
E01000966,675,244,894500,32,78.8,2,84,32,1396,514,5.6,63943
E01000968,760,383,731000,37,74.8,3.8,121,71,1313,382,6.3,46075
E01000960,841,689,585000,21,65.2,6.7,182,64,1528,388,7,41451
E01000961,652,737,632500,28,52.8,10.2,203,100,1288,354,6.8,30385
E01000963,851,928,743750,28,59.1,4.2,188,88,1647,572,6.3,52918
E01000967,619,344,1175000,22,65.3,3.5,134,44,1231,606,3.3,60568
E01000857,686,278,741000,21,68,3,158,82,1207,484,3.5,47797
E01000858,775,785,645000,16,52.6,9.7,229,171,1461,304,5.9,27282
E01000859,807,208,1000000,29,75.3,4,114,57,1415,561,3.6,61120
E01000860,797,224,1920000,11,61.1,4.5,182,88,1037,341,3,44797
E01000862,816,308,980000,39,74,2.9,113,43,1556,627,5.2,62468
E01000856,628,705,783750,38,55.8,11.9,186,124,1335,246,7.2,27044
E01000861,729,480,679250,20,59.1,7.4,178,85,1311,222,7.4,30135
E01000957,765,672,431500,10,57.4,8.8,204,123,1402,305,4.6,28624
E01000958,835,1042,375000,7,49.2,8.4,222,125,1917,260,7,27133
E01000959,698,742,525000,21,43.1,9.3,283,132,1255,197,7.3,22347
E01000929,685,780,430000,7,50.9,12.2,212,152,1311,288,4.8,26403
E01000930,1076,795,305000,32,54.6,9.3,279,169,1462,264,6.7,24061
E01000933,821,451,607500,28,71,6.5,163,94,1414,410,6.7,37278
E01000934,732,784,390000,17,52.4,11.3,261,129,1229,244,4.4,25033
E01000935,624,675,442300,18,56.8,10.4,181,99,1135,227,3.8,25247
E01000863,667,347,705000,15,65.5,6.5,130,62,1289,219,7.2,40815
E01000946,715,536,999000,33,60.6,4.8,130,88,1298,383,6.4,38675
E01000947,871,709,655000,12,54.3,7.9,186,114,1654,269,7.1,29657
E01000948,846,452,678000,15,63.3,4.6,168,117,1451,417,6.5,40748
E01000952,675,844,494100,7,44.9,10.1,228,166,1335,235,7.4,24012
E01000953,708,874,476660,17,42.6,9.1,240,194,1209,226,7.2,23027
E01000954,642,925,364975,4,44.9,13.4,208,134,1314,207,7.4,21566
E01000955,657,773,450000,2,41.7,10.4,282,147,1166,166,7.9,22567
E01000956,608,901,467500,12,46.1,10.9,191,109,1232,172,8,25464
E01000944,667,983,353500,6,33,11.8,180,118,1601,246,6.6,23637
E01000945,611,968,650000,5,36.6,6.8,180,78,1563,168,8,27236
E01000949,739,656,319975,4,60.4,8.5,249,85,1299,217,5.2,29196
E01000950,550,863,302500,4,42.6,13.4,194,126,1111,161,7.3,20176
E01000951,603,825,378346,6,40.4,13.5,225,117,1196,185,7.2,21727
E01000936,536,939,425000,11,35.9,10.2,159,100,1580,199,6.9,28382
E01000938,737,944,655000,11,49.8,10.5,168,88,1496,163,8,26281
E01000939,446,814,465000,5,38.7,13.7,176,85,962,125,8,23517
E01000940,534,550,575000,7,38.7,12.2,149,71,910,127,8,28095
E01000853,840,658,601700,7,48.7,13.4,277,168,1186,160,8,28846
E01000937,502,717,747500,56,31.5,7.3,109,58,1337,79,7.6,28092
E01000941,557,646,569200,3,48,12.1,200,120,910,154,8,23407
E01000942,686,835,487684,12,27.1,4.3,170,51,1890,126,8,32028
E01000943,596,383,600000,11,49,7.6,105,45,904,99,8,31578
E01000850,664,611,700000,7,56.8,3.1,129,64,1501,189,8,44181
E01000851,861,908,700000,37,39.8,3.9,146,61,2176,246,8,37265
E01000852,625,654,390000,13,26,4.2,140,51,1396,114,8,32650
E01000854,718,1068,792500,10,37.3,6.5,151,96,1586,185,8,29258
E01000915,635,769,678250,6,56.6,10.3,188,128,1211,215,8,28527
E01000916,881,672,750550,37,63.1,5.7,175,112,1509,236,8,34001
E01000917,913,914,400000,9,49.5,14,294,178,1416,224,8,24972
E01000920,946,614,794975,26,65,5.7,200,98,1648,343,7.5,37883
E01000855,1111,502,332500,40,65.7,4.5,199,64,1501,240,7.9,35286
E01000914,970,565,599999,23,60.2,5,154,80,1528,328,8,38253
E01000918,935,782,562770,21,52.5,7.6,249,124,1717,254,8,34647
E01000919,834,868,820000,13,51.9,4.7,201,90,1723,236,8,35740
E01000001,876,227,720000,67,74.9,3.5,137,30,1298,452,8,58347
E01000002,830,162,836500,66,74.8,1.7,106,39,1291,441,8,57159
E01000003,817,291,487500,30,67.2,4.7,177,83,1086,180,7.3,34387
E01000005,467,479,414500,6,58.9,8.7,131,72,782,124,8,24000
E01032739,676,231,757125,70,82.6,2.7,43,6,995,216,7.9,53017
E01032740,719,186,850800,70,80,3.3,49,16,1034,279,8,52427
E01001808,558,377,424975,6,56.1,8.1,116,48,1674,259,5.8,36364
E01001809,610,634,250000,7,54.8,9.7,196,65,1716,276,5.6,33867
E01001814,559,593,265000,7,59.7,8.8,135,73,1452,278,5.6,32964
E01001823,538,678,388500,4,51.5,14,148,84,1533,322,2.3,32452
E01001825,428,298,375000,3,51.5,9.4,103,50,1445,251,3.7,40095
E01001714,632,750,306250,10,54,10.3,234,121,1135,238,6.5,25992
E01001811,646,855,280000,1,48.9,13.5,224,157,1122,229,4.5,21530
E01001813,525,734,236500,2,46.2,12.8,176,124,950,153,6.5,21184
E01033701,760,1110,360000,25,43.1,16.1,262,210,1377,261,6.1,21621
E01001799,485,390,392500,12,59.1,8.1,131,36,1415,238,4,41561
E01001802,471,443,350750,6,54,9.2,152,88,1054,208,3.3,30119
E01001804,464,418,400000,10,55.8,6.7,119,76,1333,229,2.7,37894
E01001807,693,705,312500,12,59.4,11.8,159,101,1546,318,4.3,32042
E01001812,614,539,462500,9,52.5,10.9,163,112,1471,246,3.4,31591
E01001725,573,735,485000,7,53.6,11.2,167,85,1657,284,4.8,36415
E01001726,464,797,270000,9,53.1,14,149,70,1138,203,5.6,25802
E01001800,643,643,325000,6,50.2,11.2,167,116,1314,199,5.1,26799
E01001824,539,654,460000,4,49.1,14.5,170,95,1252,215,3,27054
E01001826,585,673,342500,6,53.4,10.7,173,112,1455,227,4.2,28359
E01001723,671,791,485000,13,65.8,7.3,168,97,1679,352,5.2,41002
E01001724,980,808,365000,31,71.5,6.1,176,93,1950,329,6,35605
E01001727,573,715,527500,4,61.2,6,119,69,1732,327,3.5,41946
E01001768,719,788,475000,29,66.9,7.4,204,104,1517,420,5.5,39934
E01001769,662,738,557500,22,65.8,10,182,71,1341,320,6,38627
E01001715,673,390,497500,26,76.3,5.9,105,42,1174,244,7,44118
E01001716,633,571,370000,13,65.5,6.8,167,87,1064,224,7.3,29877
E01001717,427,502,436033,81,60.6,7.4,99,82,1041,279,4.3,40448
E01001718,824,441,525000,35,76.8,3.4,132,42,1613,337,7.5,51575
E01001719,484,547,400000,9,58.9,7.5,175,91,873,186,4.5,28548
E01001720,785,425,524370,23,77.3,3.9,107,60,1569,355,5.3,50911
E01001742,789,804,480000,29,65.2,6.4,197,137,1476,338,3.1,35330
E01001801,588,466,392500,9,55.9,8.7,185,123,1356,265,2.7,33056
E01001803,719,453,605000,19,69.7,5.5,145,79,1639,396,3.1,47091
E01001806,714,560,378026,16,62.9,8.5,182,114,1250,342,3.3,36785
E01001741,599,407,850000,15,72.9,3.5,114,68,1308,353,3.7,54378
E01001805,510,371,445000,19,71.1,6.9,106,53,1047,275,5.6,42572
E01001829,696,407,595000,23,74.5,5.3,129,69,1596,416,5.1,57683
E01001831,745,621,405000,20,70.7,5.4,185,88,1404,304,6.5,39216
E01001832,642,706,636250,10,66.5,7.9,150,97,1372,338,5.9,38736
E01001764,696,860,375000,23,61.3,10.1,196,87,1405,331,5.3,30468
E01001765,722,1182,199950,5,46.7,18.4,264,156,1297,273,4.2,22782
E01001767,628,773,445000,29,61,10.4,175,97,1331,289,5.2,33605
E01001770,784,1035,315500,11,52.1,13.9,222,141,1375,277,6.4,25907
E01033703,625,671,306375,16,59.4,10.9,173,135,1102,185,6.2,27000
E01033713,601,635,440625,18,62.8,11.8,162,91,1093,211,5.3,29701
E01001792,620,970,322500,16,57.5,9.8,254,142,1384,378,5.6,32767
E01001793,656,819,500000,24,65,10.6,187,80,1418,350,4.1,34429
E01001794,656,880,640000,29,61,9.1,194,200,1515,399,5.7,40167
E01001795,571,627,670000,22,64.2,12.8,137,74,1253,274,5.3,36561
E01001796,737,825,444000,17,62.4,10.5,170,102,1375,306,4.2,29969
E01001736,707,553,490000,19,68.5,6.7,134,88,1434,341,3.4,45623
E01001737,754,561,680000,27,73.6,6.3,141,73,1628,412,3.2,51069
E01001738,785,474,415000,22,71.9,6.3,142,104,1512,356,4,43760
E01001739,898,516,460000,31,71.8,6.2,221,97,1772,424,4,48840
E01001786,717,1335,325000,21,48.5,15.2,226,119,1480,309,3.3,23792
